Jason Roy,b  Bumrah,0,5,0,0,0,
Jonny Bairstow,c †Pant b  Bumrah,7,20,1,0,35,6.36%
Joe Root,c †Pant b  Bumrah,0,2,0,0,0,
Ben Stokes,c †Pant b  Mohammed Shami,0,1,0,0,0,
Jos Buttler*†,c  Yadav b  Mohammed Shami,30,32,6,0,93.75,27.27%
Liam Livingstone,b  Bumrah,0,8,0,0,0,
Moeen Ali,c & b  Prasidh Krishna,14,18,2,0,77.78,12.73%
David Willey,b  Bumrah,21,26,3,0,80.77,19.09%
Craig Overton,b  Mohammed Shami,8,7,2,0,114.29,7.27%
Brydon Carse,b  Bumrah,15,26,2,0,57.69,13.64%
Reece Topley,not out,6,7,0,1,85.71,5.45%
Extras,"(lb 2, w 7)",9,,,,,
,,,,,,,
1-6  Roy,2-6  Root,3-7  Stokes,4-17  Bairstow,,,,
5-26  Livingstone,6-53  Ali,7-59  Buttler,8-68  Overton,,,,
9-103  Carse,10-110  Willey,,,,,,
,,,,,,,
Mohammed Shami,7,0,31,3,4.43,30.00%,
Jasprit Bumrah,7.2,3,19,6,2.59,60.00%,
Hardik Pandya,4,0,22,0,5.5,,
Prasidh Krishna,5,0,26,1,5.2,10.00%,
Yuzvendra Chahal,2,0,10,0,5,,
,,,,,,,
Rohit Sharma*,not out,76,58,7,5,131.03,66.67%
Shikhar Dhawan,not out,31,54,4,0,57.41,27.19%
Shreyas Iyer,,,,,,,
Suryakumar Yadav,,,,,,,
Rishabh Pant†,,,,,,,
Hardik Pandya,,,,,,,
Ravindra Jadeja,,,,,,,
Mohammed Shami,,,,,,,
Jasprit Bumrah,,,,,,,
Yuzvendra Chahal,,,,,,,
Prasidh Krishna,,,,,,,
Extras,"(lb 2, w 5)",7,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
David Willey,3,0,8,0,2.67,,
Reece Topley,5,3,22,0,4.4,,
Craig Overton,4,0,34,0,8.5,,
Brydon Carse,3.4,0,38,0,10.36,,
Ben Stokes,1,0,1,0,1,,
Moeen Ali,2,0,9,0,4.5,,
,,,,,,,
Series Statistics and Results,,,,,,,
Scorecards Menu,,,,,,,
